,单位：亿美元,2G北美规模,3G北美规模,4G北美规模,5G北美规模,北美整体规模,2G EMEA规模,3G EMEA规模,4G EMEA规模,5G EMEA规模,EMEA整体规模,2G亚太规模,3G亚太规模,4G亚太规模,5G亚太规模,亚太整体规模,2G CALA规模,3G CALA规模,4G CALA规模,5G CALA规模,CALA整体规模
8,Q101,20.49,0,0,0,20.49,32.41,0,0,0,32.41,25.48,2.06,0,0,27.53,4.07,0,0,0,4.07
9,Q201,23.83,0,0,0,23.83,36.97,0,0,0,36.97,30.73,2.21,0,0,32.95,7.8,0,0,0,7.8
10,Q301,23.07,0,0,0,23.07,29.22,0,0,0,29.22,25.42,2.22,0,0,27.64,6.19,0,0,0,6.19
11,Q401,22.18,0,0,0,22.18,30.5,0,0,0,30.5,23.71,2.07,0,0,25.78,4.36,0,0,0,4.36
12,Q102,21.59,0,0,0,21.59,24.67,0,0,0,24.67,21.92,2.15,0,0,24.07,5.17,0,0,0,5.17
13,Q202,24.62,0,0,0,24.62,28.26,0,0,0,28.26,21.05,1.84,0,0,22.89,7.63,0,0,0,7.63
14,Q302,16.78,0,0,0,16.78,20.73,7.85,0,0,28.58,20.94,1.5,0,0,22.43,3.02,0,0,0,3.02
15,Q402,16.03,0,0,0,16.03,28.65,4.75,0,0,33.4,25.39,2,0,0,27.38,3.74,0,0,0,3.74
16,Q103,14.57,0,0,0,14.57,20.05,6.36,0,0,26.4,20.02,2.2,0,0,22.22,3.05,0,0,0,3.05
17,Q203,13.55,0,0,0,13.55,22,4.68,0,0,26.68,22.78,2.14,0,0,24.92,3.18,0,0,0,3.18
18,Q303,13.81,0,0,0,13.81,20.93,5.72,0,0,26.65,20.12,2.97,0,0,23.09,3.73,0,0,0,3.73
19,Q403,21.35,0,0,0,21.35,27.5,8.84,0,0,36.35,26.19,4.18,0,0,30.37,4.36,0,0,0,4.36
20,Q104,18.19,0,0,0,18.19,24.83,8.38,0,0,33.21,27.12,5.28,0,0,32.4,4.84,0,0,0,4.84
21,Q204,20.29,0,0,0,20.29,29.92,7.62,0,0,37.54,26.23,3.59,0,0,29.81,4.75,0,0,0,4.75
22,Q304,18.57,0,0,0,18.56,27.95,10,0,0,37.95,25.81,4.04,0,0,29.85,5.68,0,0,0,5.68
23,Q404,21.33,0,0,0,21.33,33.96,10.04,0,0,44,28.63,5.12,0,0,33.74,8.02,0,0,0,8.02
24,Q105,19.61,0,0,0,19.61,30.72,9.34,0,0,40.06,26.62,5.82,0,0,32.44,6.63,0,0,0,6.63
25,Q205,23.03,0,0,0,23.03,31.12,10.02,0,0,41.14,27.24,6.05,0,0,33.29,7.52,0,0,0,7.52
26,Q305,19.38,0,0,0,19.38,31.35,10.02,0,0,41.37,23.34,5.77,0,0,29.11,7.05,0,0,0,7.05
27,Q405,20.52,1.74,0,0,22.26,32.82,11.53,0,0,44.35,25.93,5.93,0,0,31.86,8.35,0,0,0,8.35
28,Q106,17.39,1.52,0,0,18.91,31.62,10.82,0,0,42.44,21.16,5.29,0,0,26.45,6.3,0,0,0,6.3
29,Q206,17.76,1.5,0,0,19.26,33.47,12.94,0,0,46.41,27.81,6.3,0,0,34.1,5.92,0,0,0,5.92
30,Q306,22.71,0.84,0,0,23.55,30.11,11.16,0,0,41.28,27.4,6.06,0,0,33.45,5.31,0,0,0,5.31
