MTH_TEL_BILL,als_m3_id_nbank_tot_mons,als_m12_id_bank_tot_mons,RACE,SINGE_DATE,BIRTHDAY,m1_num,als_lst_id_bank_inteday,als_lst_id_nbank_consnum,m6_num,als_m6_id_nbank_tot_mons,d15_num,TOTAL_PRICE,m6_day,LOAN_AMT,APROV_DURATION,DOWN_PAY,als_fst_id_nbank_inteday,als_m3_id_tot_mons,m12_num,als_m12_id_tot_mons,m12_day,FIRST_REPAY,als_fst_id_bank_inteday,als_m6_id_tot_mons,FLX_PACKAGE,m3_day,m3_num,MONTH_RATE,REPAY_DAY,als_m12_id_nbank_tot_mons,als_lst_id_bank_consnum,MTH_REPAY_AMT,als_m6_id_bank_tot_mons,d7_num,y
0,1,0,1,2,28,8,0,1,12,1,8,3197,712,2897,0.97,300,1,1,12,1,1428,310,0,1,0.23,352,12,1.03,8,1,0,310,0,8,0
1,1,0,0,1,20,10,0,1,14,1,10,4476,712,4376,0.83,100,1,1,14,1,1428,273,0,1,1.05,352,14,1.67,11,1,0,273,0,10,0
0,2,5,0,3,31,6,12,1,101.8,5,6,3191,186,3191,0.57,0,195,3,137.12,8,194,288,234,6,0.5,138,37.33,1.09,10,6,1,288,3,0,0
0,1,0,0,2,23,10,0,1,14,1,10,4376,712,3376,1.08,1000,1,1,14,1,1428,399,0,1,0.67,352,14,1.67,10,1,0,399,0,10,0
0,1,0,0,4,40,0,0,1,18,2,0,3397,404,2897,0.98,500,168,1,18,2,404,310,0,2,0.23,352,14,1.03,28,2,0,310,0,0,0
1,1,0,0,2,30,16,0,3,33,2,16,8130,190,5130,0.73,3000,180,1,66,3,190,463,0,2,0.65,352,24,1.67,8,3,0,463,0,16,1
0,1,1,0,4,32,8,74,1,22,1,8,5196,146,3196,0.98,2000,302,2,40,4,529,342,74,2,0.23,146,22,1.03,28,3,1,342,1,8,0
1,1,1,0,3,24,16,161,2,31.5,1,16,3546,160,3046,1.28,500,1,1,31.5,2,160,360,161,2,0.67,352,24,1.67,1,1,1,360,1,16,0
0,1,0,0,2,21,16,0,1,27,2,16,3982,226,3382,1.15,600,224,1,30.66,3,226,211,0,2,1.05,352,24,1.67,6,3,0,211,0,16,0
1,1,0,0,2,20,8,0,1,12,1,8,8490,712,7190,0.57,1300,1,1,12,1,1428,649,0,1,0.65,352,12,1.67,5,1,0,649,0,8,1
